Size,Threads,Time_ms
10,1,0.001000
10,2,0.155000
10,4,0.242000
10,8,0.358000
10,16,0.471000
10,32,0.432000
10,64,0.435000
10,128,0.413000
10,256,0.435000
10,512,1.472000
100,1,0.059000
100,2,0.181000
100,4,0.241000
100,8,0.396000
100,16,0.646000
100,32,1.292000
100,64,2.337000
100,128,3.723000
100,256,4.283000
100,512,4.004000
500,1,1.066000
500,2,0.948000
500,4,0.676000
500,8,0.601000
500,16,0.720000
500,32,1.165000
500,64,3.713000
500,128,4.738000
500,256,9.738000
500,512,16.983000
1000,1,4.742000
1000,2,2.655000
1000,4,1.263000
1000,8,1.211000
1000,16,1.137000
1000,32,1.563000
1000,64,2.599000
1000,128,4.994000
1000,256,9.219000
1000,512,17.936000
2000,1,31.099000
2000,2,13.349000
2000,4,8.511000
2000,8,6.667000
2000,16,5.515000
2000,32,6.581000
2000,64,5.837000
2000,128,5.658000
2000,256,10.270000
2000,512,18.773000
5000,1,128.489000
5000,2,66.086000
5000,4,37.286000
5000,8,28.474000
5000,16,20.389000
5000,32,20.207000
5000,64,19.787000
5000,128,20.666000
5000,256,22.757000
5000,512,27.019000
10000,1,517.380000
10000,2,252.735000
10000,4,170.218000
10000,8,103.271000
10000,16,75.719000
10000,32,72.857000
10000,64,83.410000
10000,128,79.823000
10000,256,84.696000
10000,512,85.823000
20000,1,2548.997000
20000,2,1970.944000
20000,4,1170.749000
20000,8,566.067000
20000,16,456.378000
20000,32,463.027000
20000,64,511.652000
20000,128,397.768000
20000,256,390.688000
20000,512,410.744000
40000,1,10942.538000
40000,2,8778.614000
40000,4,6451.714000
40000,8,3911.852000
40000,16,2591.520000
40000,32,2401.945000
40000,64,2538.593000
40000,128,2204.993000
40000,256,2407.293000
40000,512,2144.025000
